slot	Channel	Tx	Rx	flowid
4601	22	149	117	4
4603	21	117	126	4
4617	21	126	121	4
4639	20	121	101	4
4641	26	101	102	4
4601	23	136	114	5
4603	20	114	119	5
4606	24	119	112	5
4612	26	112	117	5
4614	22	117	126	5
4637	21	126	121	5
4650	23	121	126	5
4652	20	126	117	5
4654	26	117	112	5
4656	22	112	119	5
4658	21	119	114	5
4660	25	114	135	5
4601	21	137	110	6
4604	26	110	112	6
4630	20	112	117	6
4632	26	117	126	6
4654	24	126	121	6
4663	23	121	108	6
4801	23	147	143	1
4803	20	143	139	1
4805	26	139	144	1
4807	22	144	109	1
4809	21	109	101	1
4811	25	101	121	1
4819	26	121	126	1
4821	22	126	117	1
4823	21	117	146	1
4801	21	144	109	2
4803	25	109	101	2
4805	24	101	121	2
4823	20	121	101	2
4825	26	101	109	2
4827	22	109	144	2
4829	21	144	139	2
4831	25	139	143	2
4806	23	105	109	3
4818	24	109	101	3
4828	21	101	121	3
4833	22	121	123	3
4835	21	123	104	3
4801	25	149	117	4
4803	24	117	126	4
4817	24	126	121	4
4839	22	121	101	4
4841	21	101	102	4
4801	26	136	114	5
4803	22	114	119	5
4806	20	119	112	5
4812	21	112	117	5
4814	25	117	126	5
4837	24	126	121	5
4850	26	121	126	5
4852	22	126	117	5
4854	21	117	112	5
4856	25	112	119	5
4858	24	119	114	5
4859	22	119	114	5
4860	23	114	135	5
4801	24	137	110	6
4804	21	110	112	6
4830	22	112	117	6
4832	21	117	126	6
4854	20	126	121	6
4863	26	121	108	6
5001	26	147	143	1
5003	22	143	139	1
5005	21	139	144	1
5007	25	144	109	1
5009	24	109	101	1
5011	23	101	121	1
5019	21	121	126	1
5021	25	126	117	1
5023	24	117	146	1
5001	24	144	109	2
5003	23	109	101	2
5005	20	101	121	2
5023	22	121	101	2
5025	21	101	109	2
5027	25	109	144	2
5029	24	144	139	2
5031	23	139	143	2
5006	26	105	109	3
5018	20	109	101	3
5028	24	101	121	3
5033	25	121	123	3
5035	24	123	104	3
5001	23	149	117	4
5003	20	117	126	4
5017	20	126	121	4
5039	25	121	101	4
5041	24	101	102	4
5001	21	136	114	5
5003	25	114	119	5
5006	22	119	112	5
5012	24	112	117	5
5014	23	117	126	5
5037	20	126	121	5
5050	21	121	126	5
5052	25	126	117	5
5054	24	117	112	5
5056	23	112	119	5
5058	20	119	114	5
5060	26	114	135	5
5001	20	137	110	6
5004	24	110	112	6
5030	25	112	117	6
5032	24	117	126	6
5054	22	126	121	6
5056	21	126	121	6
5063	21	121	108	6
5201	21	147	143	1
5203	25	143	139	1
5205	24	139	144	1
5207	23	144	109	1
5209	20	109	101	1
5211	26	101	121	1
5219	24	121	126	1
5221	23	126	117	1
5223	20	117	146	1
5201	20	144	109	2
5203	26	109	101	2
5205	22	101	121	2
5223	25	121	101	2
5225	24	101	109	2
5227	23	109	144	2
5229	20	144	139	2
5231	26	139	143	2
5206	21	105	109	3
5218	22	109	101	3
5228	20	101	121	3
5233	23	121	123	3
5235	20	123	104	3
5201	26	149	117	4
5203	22	117	126	4
5217	22	126	121	4
5239	23	121	101	4
5241	20	101	102	4
5201	24	136	114	5
5203	23	114	119	5
5206	25	119	112	5
5212	20	112	117	5
5214	26	117	126	5
5237	22	126	121	5
5250	24	121	126	5
5252	23	126	117	5
5254	20	117	112	5
5256	26	112	119	5
5258	22	119	114	5
5259	23	119	114	5
5260	21	114	135	5
5201	22	137	110	6
5204	20	110	112	6
5230	23	112	117	6
5232	20	117	126	6
5254	25	126	121	6
5263	24	121	108	6
5401	24	147	143	1
5403	23	143	139	1
5405	20	139	144	1
5407	26	144	109	1
5409	22	109	101	1
5411	21	101	121	1
5419	20	121	126	1
5421	26	126	117	1
5423	22	117	146	1
5401	22	144	109	2
5403	21	109	101	2
5405	25	101	121	2
5423	23	121	101	2
5425	20	101	109	2
5427	26	109	144	2
5429	22	144	139	2
5431	21	139	143	2
5406	24	105	109	3
5418	25	109	101	3
5428	22	101	121	3
5433	26	121	123	3
5435	22	123	104	3
5401	21	149	117	4
5403	25	117	126	4
5417	25	126	121	4
5439	26	121	101	4
5441	22	101	102	4
5401	20	136	114	5
5403	26	114	119	5
5406	23	119	112	5
5412	22	112	117	5
5414	21	117	126	5
5437	25	126	121	5
5450	20	121	126	5
5452	26	126	117	5
5454	22	117	112	5
5456	21	112	119	5
5458	25	119	114	5
5460	24	114	135	5
5401	25	137	110	6
5404	22	110	112	6
5430	26	112	117	6
5432	22	117	126	6
5454	23	126	121	6
